transaction_id,amount,payment_method,account_age_days,device_age_days,transactions_last_24h,previous_chargebacks,ip_risk,device_risk,unknown_location,is_fraud
TXN-002402,99552.57,CARD,1592,137,14,4,0.253,0.344,0,1
TXN-002403,98432.61,NETBANKING,308,5,5,5,0.363,0.487,0,0
TXN-002404,89621.88,NETBANKING,2133,1077,30,2,0.426,0.605,1,0
TXN-002405,4690.76,UPI,2421,1288,23,5,0.341,0.451,0,0
TXN-002406,116766.71,NETBANKING,597,378,15,5,0.724,0.456,0,1
TXN-002407,98046.18,WALLET,1504,54,9,3,0.874,0.476,0,1
TXN-002408,149840.35,NETBANKING,456,456,1,3,0.509,0.956,0,1
TXN-002409,118139.25,WALLET,421,11,1,5,0.98,0.412,1,1
TXN-002410,148242.49,UPI,1991,278,18,1,0.008,0.408,0,1
TXN-002411,130540.23,CARD,574,470,5,4,0.148,0.175,0,1
TXN-002412,41729.93,NETBANKING,638,1078,7,2,1.0,0.591,0,1
TXN-002413,13931.19,NETBANKING,1853,1240,26,0,0.228,0.89,0,0
TXN-002414,52119.69,UPI,1288,398,11,3,0.928,0.165,1,0
TXN-002415,1247.6,WALLET,1185,241,21,5,0.936,0.359,0,0
TXN-002416,69707.75,CARD,120,262,30,4,0.017,0.073,0,0
TXN-002417,136514.02,NETBANKING,994,618,3,4,0.333,0.759,1,0
TXN-002418,39469.29,WALLET,2277,840,26,3,0.288,0.884,0,1
TXN-002419,96269.76,CARD,93,790,8,2,0.498,0.913,0,1
TXN-002420,87818.9,UPI,598,200,8,5,0.621,0.905,0,0
TXN-002421,135588.54,WALLET,2443,1180,1,2,0.814,0.553,0,0
TXN-002422,88894.24,NETBANKING,86,1116,25,2,0.187,0.895,0,1
TXN-002423,64545.82,UPI,1221,736,29,1,0.52,0.801,0,1
TXN-002424,109210.37,WALLET,1359,861,15,1,0.234,0.756,0,0
TXN-002425,12540.85,NETBANKING,590,910,14,0,0.926,0.418,1,1
TXN-002426,134847.86,UPI,574,733,8,5,0.02,0.28,0,0
TXN-002427,24193.28,WALLET,1212,552,10,3,0.774,0.499,0,0
TXN-002428,121757.65,NETBANKING,755,493,24,1,0.901,0.174,0,0
TXN-002429,41158.61,WALLET,517,631,4,5,0.331,0.247,0,0
TXN-002430,50771.68,WALLET,1155,1198,30,0,0.384,0.834,1,1
TXN-002431,41704.81,NETBANKING,1853,126,8,1,0.222,0.144,0,0
TXN-002432,139644.53,UPI,1320,1311,18,1,0.525,0.226,0,0
TXN-002433,21059.24,WALLET,1607,377,29,5,0.617,0.091,0,0
TXN-002434,142696.64,CARD,537,55,10,0,0.407,0.542,0,1
TXN-002435,36186.62,CARD,1664,784,20,1,0.475,0.991,0,1
TXN-002436,19017.67,NETBANKING,136,442,4,1,0.586,0.5,0,1
TXN-002437,22768.44,WALLET,391,1376,19,0,0.106,0.239,0,0
TXN-002438,33931.37,WALLET,348,1237,2,0,0.058,0.022,1,0
TXN-002439,56579.75,CARD,1395,772,23,5,0.677,0.7,0,1
TXN-002440,89995.35,UPI,1842,1187,20,1,0.227,0.286,0,1
TXN-002441,35226.49,WALLET,1920,954,30,4,0.768,0.285,0,0
TXN-002442,43262.18,CARD,1819,27,26,5,0.118,0.296,0,0
TXN-002443,104925.01,UPI,329,1373,15,3,0.428,0.421,0,1
TXN-002444,26601.59,WALLET,1713,138,5,0,0.784,0.16,0,0
TXN-002445,8336.11,UPI,246,320,5,1,0.069,0.114,0,1
TXN-002446,94417.01,WALLET,1752,419,11,1,0.135,0.198,0,0
TXN-002447,87907.48,UPI,566,776,27,5,0.517,0.284,1,1
TXN-002448,136751.06,UPI,341,586,28,1,0.606,0.193,0,0
TXN-002449,36801.7,NETBANKING,1007,1167,25,4,0.565,0.697,0,1
TXN-002450,39022.0,NETBANKING,2456,1350,21,4,0.851,0.38,0,0
TXN-002451,113269.36,NETBANKING,424,1006,22,4,0.202,0.683,0,1
TXN-002452,132369.46,NETBANKING,862,1073,5,0,0.094,0.779,0,0
TXN-002453,24633.75,WALLET,1610,600,6,3,0.445,0.793,0,1
TXN-002454,21760.54,CARD,1146,648,12,1,0.962,0.91,0,0
TXN-002455,47170.9,WALLET,1923,842,9,4,0.441,0.294,0,0
TXN-002456,122140.47,NETBANKING,1506,247,1,2,0.407,0.138,0,0
TXN-002457,145607.13,WALLET,1340,785,18,2,0.859,0.143,0,1
TXN-002458,112629.0,WALLET,2017,368,20,1,0.74,0.702,1,1
TXN-002459,32405.08,NETBANKING,568,150,5,4,0.11,0.437,0,0
TXN-002460,118134.57,NETBANKING,2022,946,18,5,0.935,0.699,0,0
TXN-002461,145872.61,WALLET,561,766,4,4,0.291,0.655,0,1
TXN-002462,97494.54,CARD,384,600,15,4,0.681,0.947,0,1
TXN-002463,96801.64,CARD,230,1163,23,5,0.27,0.064,0,1
TXN-002464,109503.59,UPI,1620,404,14,5,0.22,0.141,1,1
TXN-002465,17012.28,CARD,621,56,27,0,0.891,0.72,1,1
TXN-002466,40336.42,WALLET,1037,1113,7,1,0.993,0.213,0,1
TXN-002467,118518.54,CARD,2213,1240,13,3,0.724,0.638,0,1
TXN-002468,50401.67,NETBANKING,2485,586,29,3,0.877,0.599,0,0
TXN-002469,42061.77,UPI,466,385,5,2,0.622,0.764,0,0
TXN-002470,123748.04,UPI,318,222,29,2,0.292,0.11,0,1
TXN-002471,7413.26,UPI,1171,523,21,0,0.061,0.061,0,0
TXN-002472,57805.82,NETBANKING,311,1408,7,2,0.191,0.634,0,0
TXN-002473,32664.5,NETBANKING,1877,655,12,4,0.05,0.042,0,0
TXN-002474,77496.31,NETBANKING,1563,578,15,0,0.487,0.816,1,1
TXN-002475,144313.78,UPI,634,948,26,5,0.103,0.897,1,1
TXN-002476,15514.32,UPI,438,750,17,3,0.424,0.799,0,1
TXN-002477,85735.81,WALLET,1797,730,19,5,0.713,0.202,0,1
TXN-002478,71525.91,UPI,1315,58,11,4,0.207,0.19,0,0
TXN-002479,63355.1,WALLET,615,1118,12,1,0.365,0.239,0,0
TXN-002480,58245.66,CARD,387,959,29,5,0.482,0.56,0,0
TXN-002481,40225.93,WALLET,1753,1123,16,4,0.869,0.004,0,1
TXN-002482,77364.22,CARD,646,947,6,3,0.754,0.43,1,1
TXN-002483,10537.89,NETBANKING,251,338,11,1,0.875,0.371,0,1
TXN-002484,35859.12,WALLET,781,16,18,4,0.924,0.125,0,0
TXN-002485,33641.67,CARD,1982,974,16,3,0.92,0.95,0,0
TXN-002486,75239.28,CARD,1307,263,23,5,0.481,0.504,0,1
TXN-002487,90420.62,UPI,1813,170,5,0,0.048,0.142,0,0
TXN-002488,101302.84,WALLET,888,1389,2,2,0.739,0.483,0,1
TXN-002489,92894.63,WALLET,493,1389,19,4,0.631,0.108,0,1
TXN-002490,59874.27,WALLET,1666,607,2,4,0.609,0.681,1,1
TXN-002491,116868.9,UPI,72,1260,23,2,0.152,0.936,0,0
TXN-002492,57041.29,NETBANKING,804,940,20,1,0.957,0.182,0,0
TXN-002493,36657.2,UPI,1879,44,12,5,0.285,0.672,0,0
TXN-002494,50252.78,UPI,339,674,2,5,0.702,0.044,0,0
TXN-002495,4706.43,UPI,552,822,12,4,0.572,0.209,0,0
TXN-002496,89721.22,CARD,904,653,10,4,0.5,0.207,0,0
TXN-002497,16258.76,WALLET,1934,1168,3,2,0.384,0.97,1,0
TXN-002498,58162.06,NETBANKING,984,320,1,1,0.092,0.995,0,0
TXN-002499,61209.46,NETBANKING,600,1062,5,2,0.393,0.333,1,0
TXN-002500,74759.19,CARD,1189,6,2,0,0.689,0.735,0,0
TXN-002501,99644.22,UPI,1246,1366,24,3,0.79,0.32,1,1
TXN-002502,50754.27,CARD,587,1015,29,0,0.401,0.652,0,0
TXN-002503,48108.21,WALLET,890,782,20,5,0.763,0.897,0,0
TXN-002504,8623.98,UPI,2414,108,17,4,0.589,0.066,0,0
TXN-002505,121450.39,NETBANKING,2178,92,6,4,0.644,0.948,0,1
TXN-002506,81608.89,CARD,208,1274,24,1,0.049,0.263,0,1
TXN-002507,13369.22,WALLET,1614,349,18,5,0.025,0.789,0,0
TXN-002508,101189.43,WALLET,2130,137,12,4,0.303,0.459,0,0
TXN-002509,130785.06,CARD,302,181,2,2,0.681,0.947,0,0
TXN-002510,64954.29,CARD,2477,918,20,4,0.29,0.14,1,0
TXN-002511,21075.63,WALLET,2484,477,16,3,0.733,0.356,0,0
TXN-002512,72924.68,WALLET,403,1043,16,3,0.398,0.898,1,1
TXN-002513,35504.51,NETBANKING,101,180,24,5,0.397,0.776,0,0
TXN-002514,25867.44,CARD,754,871,14,3,0.444,0.831,1,0
TXN-002515,103199.21,WALLET,1627,176,13,2,0.169,0.55,1,1
TXN-002516,87158.95,CARD,1303,1159,18,0,0.136,0.341,0,0
TXN-002517,65131.73,WALLET,1558,607,1,4,0.839,0.912,0,1
TXN-002518,138649.22,NETBANKING,512,903,4,3,0.33,0.551,0,0
TXN-002519,20947.36,NETBANKING,1624,719,26,0,0.534,0.441,0,0
TXN-002520,6002.73,NETBANKING,179,9,23,4,0.184,0.27,0,0
TXN-002521,133360.14,NETBANKING,1897,102,21,1,0.643,0.774,1,1
TXN-002522,15341.14,CARD,1393,1298,1,0,0.644,0.391,0,0
TXN-002523,85785.94,UPI,1645,1355,21,4,0.345,0.995,0,0
TXN-002524,61270.34,CARD,488,1299,18,0,0.384,0.886,0,0
TXN-002525,3069.96,CARD,1072,354,29,3,0.651,0.423,0,1
TXN-002526,70489.07,NETBANKING,102,1429,26,2,0.495,0.782,0,1
TXN-002527,141910.96,NETBANKING,1672,1390,25,3,0.256,0.72,1,1
TXN-002528,54346.86,NETBANKING,1037,764,8,2,0.33,0.066,0,0
TXN-002529,146279.95,WALLET,1450,1053,7,5,0.748,0.268,0,0
TXN-002530,128436.83,NETBANKING,2241,879,21,1,0.855,0.832,0,0
TXN-002531,124497.57,NETBANKING,985,316,1,5,0.811,0.473,1,1
TXN-002532,76233.09,NETBANKING,999,326,25,5,0.409,0.804,1,1
TXN-002533,97359.3,NETBANKING,999,1493,14,4,0.691,0.867,0,1
TXN-002534,108636.55,NETBANKING,1308,123,12,5,0.032,0.175,0,1
TXN-002535,109949.17,UPI,210,938,7,2,0.172,0.986,1,1
TXN-002536,104571.75,WALLET,931,1004,30,1,0.845,0.59,0,0
TXN-002537,145427.12,UPI,990,1152,30,0,0.063,0.138,1,1
TXN-002538,5863.89,CARD,20,615,11,0,0.658,0.959,0,1
TXN-002539,34123.68,UPI,571,951,20,2,0.772,0.687,0,0
TXN-002540,93104.04,NETBANKING,771,162,26,5,0.725,0.101,0,0
TXN-002541,86458.06,NETBANKING,684,822,12,1,0.885,0.817,0,0
TXN-002542,57107.6,CARD,1409,228,23,0,0.524,0.496,1,0
TXN-002543,101566.87,NETBANKING,1199,701,3,2,0.632,0.431,0,0
TXN-002544,48694.42,UPI,1953,1364,29,2,0.344,0.357,0,0
TXN-002545,138578.56,WALLET,556,971,6,4,0.845,0.416,0,1
TXN-002546,57852.16,CARD,356,1368,11,3,0.375,0.423,0,1
TXN-002547,15315.4,WALLET,118,1053,9,4,0.119,0.976,0,1
TXN-002548,88414.4,UPI,1737,1170,8,0,0.604,0.431,0,0
TXN-002549,89697.16,UPI,1786,1012,2,2,0.336,0.712,1,0
TXN-002550,18843.9,WALLET,1806,467,22,0,0.948,0.952,0,0
TXN-002551,124184.92,UPI,1264,1029,12,0,0.658,0.65,0,0
TXN-002552,122404.93,WALLET,1220,751,2,5,0.145,0.176,0,1
TXN-002553,19963.94,NETBANKING,1520,905,13,3,0.185,0.61,0,0
TXN-002554,3740.0,NETBANKING,1060,398,29,0,0.521,0.707,0,0
TXN-002555,92294.05,CARD,347,79,22,5,0.856,0.664,1,1
TXN-002556,101762.73,UPI,1314,33,14,1,0.683,0.115,0,0
TXN-002557,117360.66,NETBANKING,264,926,7,1,0.509,0.842,0,0
TXN-002558,109700.03,WALLET,937,1267,5,1,0.098,0.55,0,0
TXN-002559,66453.77,WALLET,1783,992,4,0,0.359,0.565,0,1
TXN-002560,96556.05,NETBANKING,2437,1268,27,5,0.081,0.863,0,1
TXN-002561,7762.65,CARD,25,269,25,5,0.377,0.807,0,1
TXN-002562,5228.85,CARD,1269,1307,12,0,0.17,0.316,0,0
TXN-002563,7179.91,UPI,1115,18,20,5,0.789,0.273,0,1
TXN-002564,10414.23,CARD,984,869,18,4,0.096,0.076,0,0
TXN-002565,10843.48,NETBANKING,411,500,8,2,0.375,0.101,0,1
TXN-002566,14871.16,CARD,1482,484,6,0,0.771,0.74,0,0
TXN-002567,108577.36,WALLET,911,851,27,0,0.238,0.565,0,0
TXN-002568,110768.08,UPI,1909,1046,19,5,0.306,0.486,0,1
TXN-002569,3567.9,CARD,331,527,23,5,0.1,0.05,0,0
TXN-002570,65111.87,NETBANKING,2297,748,28,0,0.794,0.671,1,1
TXN-002571,32582.07,UPI,2168,761,3,0,0.882,0.584,0,0
TXN-002572,45659.44,NETBANKING,1489,861,20,3,0.142,0.395,0,0
TXN-002573,90045.97,WALLET,1753,1021,3,1,0.439,0.734,0,0
TXN-002574,126983.96,CARD,2395,726,13,0,0.134,0.402,0,0
TXN-002575,140999.35,NETBANKING,1489,1013,7,3,0.098,0.544,1,0
TXN-002576,123492.33,UPI,680,1494,5,1,0.687,0.928,0,0
TXN-002577,45358.69,WALLET,1562,361,16,3,0.205,0.218,0,1
TXN-002578,68616.11,UPI,1222,357,21,5,0.102,0.186,1,1
TXN-002579,59577.64,WALLET,849,852,9,3,0.027,0.25,0,0
TXN-002580,84849.95,WALLET,90,444,13,4,0.559,0.961,0,1
TXN-002581,33061.41,CARD,1645,1493,8,5,0.843,0.766,1,0
TXN-002582,21830.53,UPI,687,989,30,0,0.383,0.598,0,1
TXN-002583,39706.94,WALLET,595,1186,4,0,0.543,0.17,1,0
TXN-002584,18699.17,CARD,84,180,18,0,0.446,0.583,0,0
TXN-002585,72120.72,WALLET,2154,1256,24,5,0.521,0.252,1,0
TXN-002586,87287.13,WALLET,2459,117,11,1,0.93,0.135,0,1
TXN-002587,81988.16,WALLET,1376,856,12,4,0.738,0.553,1,0
TXN-002588,133718.74,UPI,1773,158,16,1,0.632,0.685,0,0
TXN-002589,14297.46,WALLET,820,193,6,4,0.461,0.955,0,0
TXN-002590,111752.48,WALLET,424,858,20,2,0.609,0.218,1,1
TXN-002591,125893.11,CARD,2153,1413,23,4,0.648,0.887,0,1
TXN-002592,142169.16,UPI,467,425,21,0,0.5,0.426,0,1
TXN-002593,102521.84,CARD,471,797,8,5,0.194,0.921,0,1
TXN-002594,129161.33,NETBANKING,1097,1185,2,0,0.31,0.602,0,0
TXN-002595,24585.0,NETBANKING,1212,761,17,2,0.504,0.342,0,0
TXN-002596,137568.68,UPI,628,987,28,2,0.999,0.218,0,0
TXN-002597,116601.64,NETBANKING,434,897,26,2,0.07,0.6,0,1
TXN-002598,131737.3,NETBANKING,2022,863,29,1,0.905,0.106,0,1
TXN-002599,5694.67,WALLET,956,1171,20,2,0.358,0.098,0,0
TXN-002600,14163.02,WALLET,892,108,20,1,0.009,0.772,0,0
TXN-002601,110558.07,UPI,2405,878,23,5,0.306,0.882,1,1
TXN-002602,41707.01,UPI,2304,1252,20,1,0.703,0.461,0,0
TXN-002603,114089.16,UPI,1715,821,17,0,0.067,0.206,1,1
TXN-002604,64375.97,UPI,1959,1419,5,0,0.479,0.226,0,0
TXN-002605,27120.93,CARD,704,1324,6,5,0.851,0.27,1,0
TXN-002606,9293.5,CARD,758,481,14,2,0.309,0.014,1,0
TXN-002607,46569.58,NETBANKING,689,608,25,4,0.873,0.271,0,0
TXN-002608,36773.14,NETBANKING,30,1429,20,2,0.439,0.351,0,0
TXN-002609,77261.6,UPI,1378,854,9,0,0.613,0.576,0,0
TXN-002610,28941.59,UPI,789,958,2,2,0.311,0.636,0,0
TXN-002611,102688.14,UPI,2084,367,13,0,0.667,0.822,0,0
TXN-002612,47814.08,NETBANKING,1095,372,24,4,0.594,0.175,0,0
TXN-002613,106697.64,WALLET,2389,1360,30,3,0.6,0.775,1,1
TXN-002614,80635.19,UPI,2330,513,3,0,0.625,0.542,0,0
TXN-002615,118978.13,NETBANKING,520,575,21,5,0.859,0.294,0,1
TXN-002616,76906.86,CARD,1107,840,7,1,0.806,0.675,1,0
TXN-002617,38677.4,WALLET,1520,210,24,4,0.381,0.903,0,0
TXN-002618,116429.31,NETBANKING,1180,360,10,1,0.727,0.177,1,0
TXN-002619,51594.46,WALLET,1102,419,11,0,0.578,0.347,1,0
TXN-002620,131882.78,WALLET,34,510,19,3,0.807,0.605,0,1
TXN-002621,48475.12,UPI,1927,830,11,0,0.259,0.125,1,1
TXN-002622,114327.12,NETBANKING,1123,280,18,4,0.95,0.212,0,0
TXN-002623,91617.04,WALLET,1546,1058,14,3,0.45,0.539,1,0
TXN-002624,61346.59,UPI,1875,1435,28,5,0.022,0.863,0,1
TXN-002625,39203.25,WALLET,337,166,1,1,0.798,0.261,0,0
TXN-002626,72117.12,NETBANKING,1716,886,24,2,0.0,0.339,1,0
TXN-002627,102965.12,WALLET,2013,1357,10,2,0.563,0.723,0,1
TXN-002628,31202.33,NETBANKING,1782,1179,17,2,0.019,0.976,0,0
TXN-002629,2594.16,NETBANKING,1676,837,28,5,0.577,0.948,0,1
TXN-002630,20443.59,NETBANKING,729,1149,14,0,0.472,0.703,1,0
TXN-002631,120250.44,UPI,1232,69,28,1,0.33,0.98,0,0
TXN-002632,149848.89,WALLET,707,771,28,2,0.514,0.79,0,1
TXN-002633,43199.56,CARD,1668,1146,28,0,0.671,0.196,1,1
TXN-002634,108041.55,UPI,90,163,28,1,0.439,0.578,1,1
TXN-002635,120996.23,CARD,7,603,21,4,0.86,0.147,0,1
TXN-002636,56469.57,WALLET,200,443,13,2,0.415,0.052,0,1
TXN-002637,45676.28,NETBANKING,866,1288,20,2,0.403,0.781,0,1
TXN-002638,80628.82,CARD,804,456,12,3,0.68,0.089,0,0
TXN-002639,125745.95,WALLET,1235,574,28,2,0.461,0.886,0,0
TXN-002640,58279.81,WALLET,1821,1103,11,5,0.041,0.614,1,0
TXN-002641,39818.42,WALLET,1534,1256,9,5,0.287,0.239,0,1
TXN-002642,53185.83,CARD,1828,942,26,2,0.878,0.869,0,1
TXN-002643,63041.75,WALLET,1153,52,9,1,0.023,0.867,0,1
TXN-002644,46287.99,WALLET,1437,410,10,0,0.076,0.754,0,1
TXN-002645,88295.25,UPI,191,1170,28,2,0.738,0.796,0,1
TXN-002646,75985.47,CARD,1190,1480,9,2,0.244,0.983,0,1
TXN-002647,51359.27,CARD,821,1387,5,3,0.43,0.032,0,1
TXN-002648,4432.58,UPI,288,123,24,1,0.815,0.585,0,1
TXN-002649,90041.06,WALLET,1288,165,3,4,0.102,0.887,1,0
TXN-002650,67228.52,NETBANKING,1646,874,3,2,0.73,0.47,0,0
TXN-002651,114640.81,WALLET,2094,998,22,0,0.281,0.462,1,1
TXN-002652,97669.69,WALLET,2243,302,23,4,0.016,0.373,0,1
TXN-002653,146694.82,NETBANKING,69,1079,21,4,0.068,0.718,0,1
TXN-002654,27154.05,CARD,2034,866,30,2,0.855,0.316,0,0
TXN-002655,63407.42,CARD,275,519,2,2,0.067,0.876,1,1
TXN-002656,46318.22,NETBANKING,1848,499,7,4,0.591,0.09,0,0
TXN-002657,68335.55,NETBANKING,526,6,7,2,0.606,0.282,0,0
TXN-002658,33966.93,WALLET,925,732,3,4,0.916,0.682,0,1
TXN-002659,130072.91,WALLET,1963,620,4,1,0.09,0.204,0,0
TXN-002660,28265.98,CARD,1456,1053,12,1,0.268,0.945,0,0
TXN-002661,11872.37,CARD,2160,1102,12,5,0.168,0.119,1,1
TXN-002662,93430.41,UPI,2365,1071,10,5,0.886,0.794,0,0
TXN-002663,83144.68,WALLET,1353,740,26,4,0.84,0.973,0,1
TXN-002664,113708.97,CARD,882,1102,7,0,0.588,0.311,1,0
TXN-002665,107499.87,UPI,228,402,18,0,0.819,0.866,0,1
TXN-002666,91044.38,CARD,1277,322,4,5,0.608,0.37,0,0
TXN-002667,127064.05,UPI,711,130,17,2,0.155,0.905,0,0
TXN-002668,44428.87,WALLET,361,403,8,0,0.332,0.641,0,0
TXN-002669,142845.26,NETBANKING,916,80,7,0,0.808,0.297,0,0
TXN-002670,100790.62,UPI,195,1263,29,5,0.407,0.614,0,1
TXN-002671,61075.91,WALLET,973,626,11,2,0.12,0.558,0,1
TXN-002672,140820.06,NETBANKING,1398,313,2,3,0.307,0.082,1,1
TXN-002673,145757.67,WALLET,1559,1414,20,0,0.017,0.895,1,1
TXN-002674,37583.8,UPI,1657,1097,5,3,0.824,0.925,0,0
TXN-002675,74933.28,WALLET,699,1332,26,3,0.836,0.568,0,1
TXN-002676,29113.56,NETBANKING,2034,1174,26,5,0.086,0.004,0,1
TXN-002677,119967.98,NETBANKING,2017,266,25,1,0.551,0.456,0,1
TXN-002678,7089.31,WALLET,1095,1145,11,4,0.493,0.129,0,0
TXN-002679,21797.73,NETBANKING,362,605,11,1,0.901,0.811,0,0
TXN-002680,22198.24,WALLET,66,779,2,2,0.552,0.174,0,1
TXN-002681,117498.03,NETBANKING,1955,540,15,3,0.693,0.607,0,0
TXN-002682,3591.74,UPI,2059,1493,19,4,0.33,0.392,0,1
TXN-002683,135096.95,NETBANKING,1452,884,26,1,0.221,0.559,1,0
TXN-002684,57199.45,WALLET,974,152,7,3,0.659,0.052,0,0
TXN-002685,3552.21,UPI,401,1489,28,1,0.556,0.009,0,0
TXN-002686,41636.42,WALLET,327,1183,20,0,0.214,0.017,0,0
TXN-002687,109568.41,NETBANKING,1008,1148,6,5,0.57,0.308,1,1
TXN-002688,121350.97,UPI,1482,478,10,3,0.128,0.239,0,0
TXN-002689,61385.02,CARD,231,1156,11,5,0.221,0.658,0,1
TXN-002690,83533.32,WALLET,2166,848,27,2,0.38,0.661,1,1
TXN-002691,99563.57,CARD,651,1077,29,1,0.717,0.901,0,1
TXN-002692,56090.14,UPI,1790,1045,17,2,0.427,0.727,0,0
TXN-002693,95906.88,UPI,1636,571,11,4,0.219,0.974,0,0
TXN-002694,71294.09,CARD,326,474,12,5,0.201,0.938,0,0
TXN-002695,106396.98,CARD,2061,1434,20,3,0.275,0.709,0,0
TXN-002696,9749.06,NETBANKING,2157,791,22,1,0.429,0.323,0,0
TXN-002697,92860.91,WALLET,1054,686,8,2,0.613,0.356,0,0
TXN-002698,116819.59,WALLET,1273,229,20,3,0.441,0.599,0,0
TXN-002699,7568.07,CARD,1438,1033,27,1,0.061,0.11,0,1
TXN-002700,110487.58,WALLET,636,354,30,2,0.145,0.524,1,1
TXN-002701,99456.49,CARD,1965,782,14,4,0.049,0.628,0,0
TXN-002702,7492.27,UPI,2074,69,9,0,0.794,0.197,0,1
TXN-002703,128164.4,CARD,1797,496,12,4,0.399,0.987,0,0
TXN-002704,49011.77,NETBANKING,1708,33,12,1,0.586,0.892,0,0
TXN-002705,40171.79,WALLET,565,1016,5,0,0.629,0.749,0,0
TXN-002706,9538.68,CARD,2174,715,14,3,0.739,0.925,0,0
TXN-002707,25689.8,UPI,1464,658,24,5,0.838,0.218,0,0
TXN-002708,68152.91,NETBANKING,2249,285,3,1,0.386,0.417,0,0
TXN-002709,96238.03,NETBANKING,1182,810,1,3,0.561,0.777,0,0
TXN-002710,12419.69,UPI,2487,1034,3,3,0.483,0.37,0,0
TXN-002711,119040.47,CARD,1389,422,22,0,0.429,0.276,1,1
TXN-002712,100977.28,CARD,2120,1320,11,5,0.57,0.272,0,1
TXN-002713,117041.78,UPI,1972,39,12,2,0.303,0.613,0,1
TXN-002714,114898.67,WALLET,2018,209,11,3,0.801,0.175,0,0
TXN-002715,39918.16,UPI,1995,830,23,1,0.298,0.113,0,0
TXN-002716,70046.52,UPI,196,225,4,2,0.643,0.462,0,0
TXN-002717,39498.31,UPI,1075,1422,18,3,0.133,0.352,0,0
TXN-002718,50581.29,NETBANKING,426,458,11,2,0.648,0.731,0,1
TXN-002719,80141.69,NETBANKING,1916,439,20,5,0.314,0.238,0,0
TXN-002720,52492.76,UPI,2385,705,16,5,0.598,0.833,0,0
TXN-002721,60427.55,CARD,2175,538,21,5,0.118,0.193,0,1
TXN-002722,110435.7,NETBANKING,1819,4,10,0,0.465,0.252,1,1
TXN-002723,14492.8,WALLET,2417,1002,24,5,0.246,0.291,1,0
TXN-002724,85828.65,UPI,2123,1460,7,3,0.939,0.373,0,1
TXN-002725,3907.2,WALLET,413,40,3,3,0.348,0.678,0,0
TXN-002726,5386.36,WALLET,1885,1174,26,5,0.27,0.033,1,0
TXN-002727,26796.89,NETBANKING,1286,1393,4,3,0.904,0.156,0,0
TXN-002728,115620.5,WALLET,1824,823,22,1,0.353,0.198,0,0
TXN-002729,55265.36,NETBANKING,2160,1218,14,0,0.489,0.454,0,0
TXN-002730,12897.68,CARD,945,708,27,0,0.753,0.612,0,1
TXN-002731,90579.79,NETBANKING,676,1009,21,2,0.976,0.227,0,1
TXN-002732,106868.9,WALLET,1809,129,23,2,0.52,0.022,0,0
TXN-002733,101064.31,CARD,1492,1288,14,2,0.561,0.153,0,0
TXN-002734,51471.5,WALLET,972,1494,16,4,0.946,0.708,0,0
TXN-002735,129611.1,WALLET,1758,1195,4,0,0.81,0.672,0,1
TXN-002736,94030.79,CARD,1321,326,26,3,0.083,0.108,0,0
TXN-002737,121520.79,NETBANKING,1616,653,15,2,0.629,0.273,0,1
TXN-002738,102997.48,NETBANKING,1148,587,30,0,0.109,0.098,1,1
TXN-002739,57368.77,WALLET,769,1047,1,5,0.338,0.058,1,0
TXN-002740,32536.53,WALLET,2102,617,25,0,0.537,0.898,0,1
TXN-002741,100647.03,CARD,115,153,9,5,0.522,0.198,0,0
TXN-002742,134920.09,UPI,757,908,6,4,0.207,0.389,0,0
TXN-002743,131779.61,WALLET,1193,960,30,3,0.046,0.573,0,1
TXN-002744,145701.5,CARD,1905,773,5,5,0.604,0.003,0,0
TXN-002745,9945.5,WALLET,760,193,16,1,0.042,0.546,1,0
TXN-002746,98549.93,UPI,2053,799,27,4,0.222,0.226,0,0
TXN-002747,98185.77,WALLET,1052,1260,14,3,0.299,0.589,0,1
TXN-002748,107716.81,CARD,2496,1397,1,3,0.785,0.25,1,0
TXN-002749,107925.79,WALLET,64,470,10,1,0.336,0.662,0,0
TXN-002750,18595.09,UPI,1531,1145,19,0,0.188,0.993,0,0
TXN-002751,1715.12,NETBANKING,718,242,11,1,0.067,0.249,0,0
TXN-002752,51205.12,CARD,1645,8,5,1,0.113,0.571,0,0
TXN-002753,41524.03,UPI,580,1236,8,1,0.773,0.368,0,0
TXN-002754,125895.49,UPI,18,837,12,3,0.239,0.803,0,1
TXN-002755,137749.61,WALLET,2351,446,25,5,0.706,0.122,0,1
TXN-002756,136111.19,UPI,617,1113,8,1,0.087,0.33,1,0
TXN-002757,1888.97,CARD,1389,1235,15,0,0.493,0.493,0,1
TXN-002758,51875.41,WALLET,234,1174,10,0,0.13,0.91,0,0
TXN-002759,144480.13,NETBANKING,2216,475,25,5,0.631,0.591,0,1
TXN-002760,83836.47,UPI,2283,929,25,3,0.458,0.866,0,1
TXN-002761,42044.32,NETBANKING,1330,1344,27,5,0.931,0.799,0,0
TXN-002762,95894.01,WALLET,969,92,8,1,0.177,0.58,0,0
TXN-002763,113264.02,WALLET,1082,697,4,0,0.302,0.281,1,0
TXN-002764,105166.34,WALLET,890,240,18,0,0.991,0.387,0,1
TXN-002765,7814.51,NETBANKING,2375,1471,29,2,0.803,0.414,0,1
TXN-002766,72669.11,WALLET,1607,629,29,3,0.362,0.674,0,1
TXN-002767,22563.72,WALLET,622,341,13,5,0.577,0.296,0,0
